Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_24_MyOrderPage,Edge Chromium 122,,,05-03-2024 19:47:24,05-03-2024 19:47:40,15.334s,PASSED
,,,,,,,
Test Cases/TC_24_ValidateMyOrderPage,Edge Chromium 122,,,05-03-2024 19:47:25,05-03-2024 19:47:40,14.999s,PASSED
"openBrowser("""")",Edge Chromium 122,,,05-03-2024 19:47:25,05-03-2024 19:47:29,4.095s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Edge Chromium 122,,,05-03-2024 19:47:29,05-03-2024 19:47:31,1.790s,PASSED
"click(findTestObject(""Object Repository/MyOrderPageObjRep/a_Enter the Store""))",Edge Chromium 122,,,05-03-2024 19:47:31,05-03-2024 19:47:33,2.015s,PASSED
"click(findTestObject(""Object Repository/MyOrderPageObjRep/a_Sign In""))",Edge Chromium 122,,,05-03-2024 19:47:33,05-03-2024 19:47:34,1.163s,PASSED
"setText(findTestObject(""Object Repository/MyOrderPageObjRep/input_Need a user name and password_username""), ""ajay123"")",Edge Chromium 122,,,05-03-2024 19:47:34,05-03-2024 19:47:35,0.915s,PASSED
"setEncryptedText(findTestObject(""Object Repository/MyOrderPageObjRep/input_Need a user name and password_password""), ""vzl2cAHk97k="")",Edge Chromium 122,,,05-03-2024 19:47:35,05-03-2024 19:47:36,0.638s,PASSED
"click(findTestObject(""Object Repository/MyOrderPageObjRep/input_Need a user name and password_signon""))",Edge Chromium 122,,,05-03-2024 19:47:36,05-03-2024 19:47:37,1.221s,PASSED
"click(findTestObject(""Object Repository/MyOrderPageObjRep/a_My Account""))",Edge Chromium 122,,,05-03-2024 19:47:37,05-03-2024 19:47:38,0.881s,PASSED
"click(findTestObject(""Object Repository/MyOrderPageObjRep/a_My Orders""))",Edge Chromium 122,,,05-03-2024 19:47:38,05-03-2024 19:47:39,0.906s,PASSED
"verifyElementText(findTestObject(""Object Repository/MyOrderPageObjRep/h2_My Orders""), ""My Orders"")",Edge Chromium 122,,,05-03-2024 19:47:39,05-03-2024 19:47:39,0.474s,PASSED
closeBrowser(),Edge Chromium 122,,,05-03-2024 19:47:39,05-03-2024 19:47:40,0.478s,PASSED
